中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,71 ms,264 Mbps,33894 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,18 ms,489 Mbps,62668 kB/s
152.67.153.4,443,2a0b:21c0:1007:c9:0:eafd:8d2e:1149,DE,Frankfurt,隧道,97 ms,156 Mbps,20070 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,5 ms,74 Mbps,9496 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,28 ms,666 Mbps,85299 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,97 ms,196 Mbps,25190 kB/s
152.70.117.174,443,152.70.117.174,US,San Jose,中转,76 ms,265 Mbps,33996 kB/s
150.230.34.116,443,150.230.34.116,US,San Jose,中转,130 ms,115 Mbps,14745 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,107 ms,236 Mbps,30208 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,82 ms,50 Mbps,6503 kB/s
132.226.31.178,443,2a09:bac5:60e9:1173::1bd:119,US,Los Angeles,隧道,66 ms,49 Mbps,6335 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,81 ms,254 Mbps,32563 kB/s
192.18.159.129,443,192.18.159.129,CA,Toronto,中转,31 ms,81 Mbps,10444 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,65 ms,42 Mbps,5428 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,90 ms,127 Mbps,16281 kB/s
141.148.232.187,443,2606:f240:f00:6acf:0:5d4b:a64c:2922,US,Frankfurt,隧道,90 ms,217 Mbps,27852 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,83 ms,330 Mbps,42291 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,77 ms,309 Mbps,39628 kB/s
35.230.79.26,443,34.169.47.4,US,Seattle,隧道,64 ms,343 Mbps,43929 kB/s
141.148.241.207,443,2a0b:21c0:100a:1b5:0:3be3:27dc:b666,DE,Frankfurt,隧道,90 ms,119 Mbps,15257 kB/s
150.230.42.80,443,104.28.201.73,US,San Jose,隧道,74 ms,272 Mbps,34918 kB/s
192.9.158.188,443,2a09:bac5:6442:1246::1d2:2a,US,San Jose,隧道,136 ms,167 Mbps,21401 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,65 ms,673 Mbps,86220 kB/s
129.159.32.14,443,129.159.32.14,US,San Jose,中转,75 ms,280 Mbps,35840 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,72 ms,272 Mbps,34816 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,73 ms,1 Mbps,179 kB/s
129.159.26.154,443,2a0b:21c0:1007:1cb:0:a90:bc8d:ade4,DE,Frankfurt,隧道,91 ms,162 Mbps,20787 kB/s
152.67.231.219,443,152.67.231.219,US,San Jose,中转,77 ms,5 Mbps,704 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,94 ms,215 Mbps,27545 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,73 ms,302 Mbps,38707 kB/s
35.197.23.75,443,34.169.47.4,US,Seattle,隧道,66 ms,324 Mbps,41574 kB/s
130.162.228.90,443,130.162.228.90,DE,Frankfurt,中转,91 ms,39 Mbps,5104 kB/s
152.70.49.115,443,152.70.49.115,NL,Amsterdam,中转,84 ms,35 Mbps,4501 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,84 ms,244 Mbps,31232 kB/s
150.136.87.192,443,150.136.87.192,US,Ashburn,中转,64 ms,84 Mbps,10854 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,92 ms,223 Mbps,28569 kB/s
129.159.34.122,443,129.159.34.122,US,San Jose,中转,83 ms,44 Mbps,5665 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,85 ms,26 Mbps,3414 kB/s
138.2.165.86,443,2a0b:21c0:1007:c7:0:a734:1d9:9bed,DE,Frankfurt,隧道,105 ms,150 Mbps,19251 kB/s
144.21.38.47,443,2a0b:21c0:100a:1fa:0:c60:38db:3673,DE,Frankfurt,隧道,93 ms,223 Mbps,28569 kB/s
193.122.58.158,443,193.122.58.158,DE,Frankfurt,中转,91 ms,46 Mbps,5966 kB/s
141.148.238.27,443,2a0b:21c0:100a:1b6:0:4476:81cb:fc8f,DE,Frankfurt,隧道,101 ms,216 Mbps,27750 kB/s
141.148.227.19,443,141.148.227.19,NL,Amsterdam,中转,147 ms,0 Mbps,93 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,224 ms,2 Mbps,271 kB/s
165.1.74.145,443,165.1.74.145,US,San Jose,中转,71 ms,288 Mbps,36966 kB/s
152.67.203.34,443,104.28.207.57,KR,Seoul,隧道,188 ms,74 Mbps,9556 kB/s
158.101.209.76,443,158.101.209.76,NL,Amsterdam,中转,82 ms,229 Mbps,29388 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,159 ms,96 Mbps,12288 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,87 ms,48 Mbps,6231 kB/s
141.145.217.226,443,141.145.217.226,FR,Paris,中转,93 ms,28 Mbps,3691 kB/s
144.21.42.254,443,2a0b:21c0:1007:1c8:0:49ed:6046:600c,DE,Frankfurt,隧道,94 ms,242 Mbps,31027 kB/s
138.2.123.70,443,138.2.123.70,KR,Seoul,中转,188 ms,84 Mbps,10752 kB/s
144.24.73.232,443,144.24.73.232,KR,Seoul,中转,184 ms,36 Mbps,4650 kB/s
138.2.56.246,443,138.2.56.246,JP,Osaka,中转,207 ms,74 Mbps,9522 kB/s
129.159.194.174,443,129.159.32.14,US,San Jose,隧道,90 ms,43 Mbps,5626 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,191 ms,41 Mbps,5265 kB/s
140.238.60.225,443,140.238.60.225,JP,Tokyo,中转,222 ms,62 Mbps,8020 kB/s
144.24.78.162,443,144.24.78.162,KR,Seoul,中转,189 ms,41 Mbps,5332 kB/s
140.83.81.109,443,140.83.81.109,JP,Osaka,中转,212 ms,37 Mbps,4843 kB/s
129.154.59.99,443,129.154.59.99,KR,Seoul,中转,188 ms,21 Mbps,2763 kB/s
129.150.50.63,443,129.150.50.63,SG,Singapore,中转,223 ms,72 Mbps,9248 kB/s
138.2.105.213,443,138.2.105.213,SG,Singapore,中转,225 ms,75 Mbps,9701 kB/s
158.180.65.145,443,2603:c024:e:6666::6666,KR,Seoul,隧道,188 ms,35 Mbps,4561 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,188 ms,92 Mbps,11878 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,202 ms,31 Mbps,4095 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,211 ms,2 Mbps,274 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,214 ms,68 Mbps,8831 kB/s
140.238.28.86,443,140.238.28.86,KR,Seoul,中转,191 ms,83 Mbps,10649 kB/s
141.147.163.68,443,141.147.163.68,JP,Tokyo,中转,224 ms,73 Mbps,9357 kB/s
152.69.171.12,443,152.69.171.12,AU,Sydney,中转,208 ms,27 Mbps,3467 kB/s
158.101.142.100,443,2a09:bac5:4428:dc::16:22a,JP,Tokyo,隧道,209 ms,78 Mbps,10035 kB/s
129.154.46.115,443,104.28.201.82,IN,Hyderabad,隧道,218 ms,33 Mbps,4300 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,194 ms,69 Mbps,8932 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,218 ms,37 Mbps,4853 kB/s
168.138.50.249,443,168.138.50.249,JP,Osaka,中转,205 ms,34 Mbps,4375 kB/s
8.222.165.104,443,8.222.165.104,SG,Singapore,中转,245 ms,0 Mbps,109 kB/s
129.154.207.203,443,2a09:bac1:3f00:90::22:105,KR,Seoul,隧道,188 ms,86 Mbps,11059 kB/s
168.138.215.251,443,168.138.215.251,JP,Tokyo,中转,206 ms,38 Mbps,4952 kB/s
138.3.215.28,443,129.159.32.14,US,San Jose,隧道,211 ms,33 Mbps,4295 kB/s
47.57.14.118,443,198.11.178.111,US,San Jose,隧道,239 ms,1 Mbps,201 kB/s
149.129.8.215,443,47.88.8.186,US,San Jose,隧道,215 ms,1 Mbps,226 kB/s
150.136.240.243,443,150.136.240.243,US,Ashburn,中转,2 ms,792 Mbps,101478 kB/s
140.84.179.114,443,140.84.179.114,MX,Dallas,中转,63 ms,464 Mbps,59392 kB/s
