中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
155.248.196.123,443,155.248.196.123,US,Toronto,中转,8 ms,50 Mbps,6474 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,7 ms,636 Mbps,81510 kB/s
192.9.139.160,443,192.9.139.160,US,Los Angeles,中转,8 ms,600 Mbps,76800 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,3 ms,1456 Mbps,186368 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,62 ms,399 Mbps,51097 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,28 ms,280 Mbps,35942 kB/s
34.82.76.253,443,34.168.86.105,US,Seattle,隧道,27 ms,976 Mbps,124928 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,30 ms,634 Mbps,81203 kB/s
35.197.23.75,443,35.212.156.18,US,Seattle,隧道,23 ms,976 Mbps,124928 kB/s
192.18.130.65,443,192.18.130.65,US,Los Angeles,中转,3 ms,661 Mbps,84684 kB/s
129.146.16.219,443,129.146.16.219,US,Los Angeles,中转,18 ms,59 Mbps,7624 kB/s
35.230.79.26,443,35.212.156.18,US,Seattle,隧道,35 ms,976 Mbps,124928 kB/s
129.146.243.241,443,129.146.243.241,US,Los Angeles,中转,35 ms,712 Mbps,91238 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,65 ms,149 Mbps,19148 kB/s
47.90.141.204,443,91.149.239.145,US,Los Angeles,隧道,89 ms,30 Mbps,3907 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,112 ms,205 Mbps,26316 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,162 ms,140 Mbps,17920 kB/s
192.9.146.103,443,192.9.146.103,US,Los Angeles,中转,14 ms,928 Mbps,118784 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,71 ms,384 Mbps,49254 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,77 ms,50 Mbps,6513 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,86 ms,49 Mbps,6303 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,148 ms,152 Mbps,19558 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,167 ms,43 Mbps,5582 kB/s
47.91.18.127,443,240b:4009:25a:1801:ffff:783f:74e5:c3f0,JP,Seattle,隧道,109 ms,162 Mbps,20787 kB/s
129.154.207.203,443,2a09:bac1:3f00::22:105,KR,Seoul,隧道,137 ms,122 Mbps,15667 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,179 ms,44 Mbps,5722 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,164 ms,169 Mbps,21708 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,176 ms,49 Mbps,6358 kB/s
168.138.149.17,443,168.138.149.17,BR,São Paulo,中转,195 ms,91 Mbps,11673 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,160 ms,47 Mbps,6037 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,164 ms,125 Mbps,16076 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,170 ms,120 Mbps,15462 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,167 ms,126 Mbps,16179 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,171 ms,38 Mbps,4968 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,188 ms,36 Mbps,4698 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,158 ms,77 Mbps,9932 kB/s
149.129.8.215,443,47.88.8.186,US,San Jose,隧道,172 ms,3 Mbps,477 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,180 ms,106 Mbps,13619 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,174 ms,2 Mbps,378 kB/s
64.110.89.92,443,64.110.89.92,KR,Seoul,中转,143 ms,50 Mbps,6495 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,177 ms,156 Mbps,20070 kB/s
146.56.146.67,443,146.56.146.67,KR,Seoul,中转,133 ms,140 Mbps,17920 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,173 ms,48 Mbps,6146 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,180 ms,45 Mbps,5772 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,144 ms,47 Mbps,6095 kB/s
130.162.144.191,443,2a09:bac1:3f60::299:19,KR,Seoul,隧道,139 ms,41 Mbps,5291 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,143 ms,32 Mbps,4121 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,188 ms,22 Mbps,2859 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,182 ms,44 Mbps,5696 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,173 ms,43 Mbps,5622 kB/s
146.56.176.143,443,146.56.176.143,KR,Seoul,中转,146 ms,44 Mbps,5634 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,143 ms,134 Mbps,17203 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,180 ms,78 Mbps,10035 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,146 ms,42 Mbps,5503 kB/s
