中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,9 ms,840 Mbps,107520 kB/s,107520.0
18.216.55.100,443,18.216.55.100,US,Columbus,中转,31 ms,640 Mbps,82022 kB/s,82022.0
35.202.158.120,443,35.202.158.120,US,Chicago,中转,46 ms,566 Mbps,72499 kB/s,72499.0
184.169.181.217,443,184.169.181.217,US,San Jose,中转,70 ms,467 Mbps,59801 kB/s,59801.0
35.230.79.26,443,35.212.248.117,US,Seattle,隧道,73 ms,383 Mbps,49049 kB/s,49049.0
35.197.23.75,443,35.212.248.117,US,Seattle,隧道,77 ms,376 Mbps,48128 kB/s,48128.0
34.82.76.253,443,34.83.80.46,US,Seattle,隧道,74 ms,355 Mbps,45465 kB/s,45465.0
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,66 ms,346 Mbps,44339 kB/s,44339.0
192.9.139.160,443,192.9.139.160,US,Los Angeles,中转,73 ms,322 Mbps,41267 kB/s,41267.0
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,90 ms,301 Mbps,38604 kB/s,38604.0
192.18.130.65,443,192.18.130.65,US,Los Angeles,中转,81 ms,296 Mbps,37990 kB/s,37990.0
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,93 ms,290 Mbps,37171 kB/s,37171.0
150.230.44.13,443,150.230.44.13,US,Los Angeles,中转,74 ms,288 Mbps,36966 kB/s,36966.0
192.9.146.103,443,192.9.146.103,US,Los Angeles,中转,82 ms,287 Mbps,36761 kB/s,36761.0
23.94.43.51,443,23.94.43.51,US,Seattle,中转,86 ms,261 Mbps,33484 kB/s,33484.0
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,107 ms,260 Mbps,33382 kB/s,33382.0
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,126 ms,248 Mbps,31744 kB/s,31744.0
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,102 ms,241 Mbps,30924 kB/s,30924.0
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,115 ms,231 Mbps,29593 kB/s,29593.0
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,111 ms,229 Mbps,29388 kB/s,29388.0
130.61.23.77,443,130.61.23.77,,colo.txt:Frankfurt,中转,0 ms,220 Mbps,28160 kB/s,28160.0
168.138.149.17,443,168.138.149.17,BR,São Paulo,中转,142 ms,158 Mbps,20275 kB/s,20275.0
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,185 ms,126 Mbps,16179 kB/s,16179.0
144.24.182.205,443,2a0b:21c0:1007:1cb:0:727e:cb52:e3,DE,Frankfurt,隧道,107 ms,120 Mbps,15462 kB/s,15462.0
143.47.190.37,443,163.123.193.6,DE,Frankfurt,隧道,123 ms,119 Mbps,15257 kB/s,15257.0
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,204 ms,108 Mbps,13824 kB/s,13824.0
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,204 ms,90 Mbps,11571 kB/s,11571.0
129.154.207.203,443,2a09:bac1:3f00::22:105,KR,Seoul,隧道,210 ms,88 Mbps,11264 kB/s,11264.0
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,12 ms,84 Mbps,10752 kB/s,10752.0
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,33 ms,83 Mbps,10649 kB/s,10649.0
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,228 ms,77 Mbps,9962 kB/s,9962.0
8.212.48.236,443,47.76.21.95,HK,Hong Kong,隧道,269 ms,77 Mbps,9933 kB/s,9933.0
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,102 ms,76 Mbps,9772 kB/s,9772.0
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,195 ms,67 Mbps,8701 kB/s,8701.0
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,200 ms,65 Mbps,8395 kB/s,8395.0
158.101.141.253,443,158.101.141.253,JP,Tokyo,中转,237 ms,56 Mbps,7183 kB/s,7183.0
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,98 ms,49 Mbps,6393 kB/s,6393.0
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,102 ms,49 Mbps,6358 kB/s,6358.0
8.219.95.212,443,47.245.127.33,SG,Singapore,隧道,273 ms,48 Mbps,6217 kB/s,6217.0
