中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,29 ms,732 Mbps,93696 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,15 ms,57 Mbps,7331 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,56 ms,589 Mbps,75468 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,24 ms,647 Mbps,82841 kB/s
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,21 ms,808 Mbps,103424 kB/s
34.82.76.253,443,34.168.189.228,US,Seattle,隧道,49 ms,477 Mbps,61132 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,15 ms,60 Mbps,7805 kB/s
35.197.23.75,443,35.212.143.193,US,Seattle,隧道,55 ms,447 Mbps,57241 kB/s
35.230.79.26,443,35.212.143.193,US,Seattle,隧道,51 ms,504 Mbps,64614 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,59 ms,481 Mbps,61644 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,100 ms,34 Mbps,4423 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,53 ms,433 Mbps,55500 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,49 ms,332 Mbps,42598 kB/s
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,20 ms,968 Mbps,123904 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,52 ms,484 Mbps,62054 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,56 ms,419 Mbps,53657 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,112 ms,204 Mbps,26112 kB/s
152.70.52.84,443,2a0b:21c0:1007:1cb:0:443d:4b18:d0,DE,Frankfurt,隧道,111 ms,208 Mbps,26726 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,107 ms,211 Mbps,27033 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,117 ms,238 Mbps,30515 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,122 ms,194 Mbps,24883 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,110 ms,46 Mbps,5913 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,109 ms,46 Mbps,5936 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,120 ms,254 Mbps,32563 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,120 ms,46 Mbps,5911 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,160 ms,139 Mbps,17817 kB/s
158.101.217.62,443,2a0b:21c0:1007:1cb:0:4004:4de5:6aa,DE,Frankfurt,隧道,110 ms,193 Mbps,24780 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,145 ms,42 Mbps,5425 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,85 ms,281 Mbps,36044 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,147 ms,39 Mbps,5076 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,155 ms,154 Mbps,19763 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,124 ms,40 Mbps,5190 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,174 ms,37 Mbps,4748 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,221 ms,2 Mbps,317 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,188 ms,96 Mbps,12288 kB/s
129.154.207.203,443,2a09:bac1:3f00::22:114,KR,Seoul,隧道,177 ms,85 Mbps,10956 kB/s
130.162.144.191,443,2a09:bac1:3f20::20b:7a,KR,Seoul,隧道,197 ms,32 Mbps,4221 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,216 ms,38 Mbps,4941 kB/s
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,210 ms,135 Mbps,17305 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,209 ms,39 Mbps,5087 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,192 ms,42 Mbps,5397 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,225 ms,68 Mbps,8812 kB/s
149.129.8.215,443,47.88.55.210,US,San Jose,隧道,221 ms,3 Mbps,443 kB/s
47.91.18.127,443,240b:4009:25a:1801:ffff:783f:74e5:c3f0,JP,San Jose,隧道,239 ms,47 Mbps,6027 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,185 ms,11 Mbps,1439 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,119 ms,276 Mbps,35328 kB/s
193.123.80.245,443,193.123.80.245,AE,Frankfurt,中转,209 ms,30 Mbps,3891 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,349 ms,0 Mbps,16 kB/s
47.57.13.107,443,8.212.22.44,HK,Hong Kong,隧道,195 ms,6 Mbps,781 kB/s
