中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
129.80.116.250,443,2603:c020:4008:16ca:19e9:40f5:b8a0:c008,US,Ashburn,隧道,39 ms,904 Mbps,115712 kB/s,115712.0
150.136.240.243,443,150.136.240.243,US,Ashburn,中转,6 ms,748 Mbps,95744 kB/s,95744.0
3.144.191.4,443,3.144.191.4,US,Chicago,中转,86 ms,676 Mbps,86630 kB/s,86630.0
18.216.55.100,443,18.216.55.100,US,Columbus,中转,25 ms,613 Mbps,78540 kB/s,78540.0
35.202.158.120,443,35.202.158.120,US,Chicago,中转,39 ms,565 Mbps,72396 kB/s,72396.0
43.153.80.208,443,43.153.80.208,US,San Jose,中转,76 ms,364 Mbps,46694 kB/s,46694.0
184.169.181.217,443,184.169.181.217,US,San Jose,中转,64 ms,313 Mbps,40140 kB/s,40140.0
43.153.103.203,443,43.153.103.203,US,San Jose,中转,68 ms,311 Mbps,39833 kB/s,39833.0
35.230.79.26,443,35.185.254.49,US,Seattle,隧道,73 ms,308 Mbps,39424 kB/s,39424.0
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,98 ms,306 Mbps,39219 kB/s,39219.0
35.197.23.75,443,35.185.254.49,US,Seattle,隧道,70 ms,296 Mbps,37888 kB/s,37888.0
23.94.43.51,443,23.94.43.51,US,Seattle,中转,82 ms,255 Mbps,32665 kB/s,32665.0
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,85 ms,244 Mbps,31334 kB/s,31334.0
198.23.236.101,443,198.23.236.101,US,San Jose,中转,76 ms,244 Mbps,31334 kB/s,31334.0
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,70 ms,240 Mbps,30720 kB/s,30720.0
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,91 ms,236 Mbps,30310 kB/s,30310.0
141.148.227.19,443,141.148.227.19,NL,Amsterdam,中转,87 ms,236 Mbps,30310 kB/s,30310.0
158.101.209.76,443,158.101.209.76,NL,Amsterdam,中转,84 ms,233 Mbps,29900 kB/s,29900.0
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,91 ms,218 Mbps,27955 kB/s,27955.0
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,94 ms,217 Mbps,27852 kB/s,27852.0
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,92 ms,214 Mbps,27443 kB/s,27443.0
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,90 ms,212 Mbps,27136 kB/s,27136.0
198.23.254.51,443,198.23.254.51,US,San Jose,中转,76 ms,207 Mbps,26521 kB/s,26521.0
158.101.214.219,443,2606:f240:f00:6acf:0:703b:cfcb:dfd5,US,Frankfurt,隧道,90 ms,195 Mbps,24985 kB/s,24985.0
192.9.158.188,443,2a09:bac5:6442:1246::1d2:7e,US,San Jose,隧道,77 ms,186 Mbps,23859 kB/s,23859.0
144.22.252.124,443,144.22.252.124,BR,São Paulo,中转,120 ms,170 Mbps,21811 kB/s,21811.0
150.230.42.80,443,104.28.201.73,US,San Jose,隧道,74 ms,156 Mbps,20070 kB/s,20070.0
130.162.250.180,443,2603:c020:8014:a8ee:cad4:eb37:5749:cafa,DE,Frankfurt,隧道,88 ms,133 Mbps,17100 kB/s,17100.0
193.123.38.208,443,2a0b:21c0:100a:1b7:0:ceb5:594d:6988,DE,Frankfurt,隧道,90 ms,123 Mbps,15769 kB/s,15769.0
143.47.227.26,443,2a0b:21c0:100a:1b0:0:5f3f:f86d:d50f,DE,Chicago,隧道,105 ms,122 Mbps,15667 kB/s,15667.0
141.144.197.111,443,141.144.197.111,NL,Amsterdam,中转,85 ms,115 Mbps,14745 kB/s,14745.0
47.88.15.127,443,47.88.15.127,US,San Jose,中转,68 ms,101 Mbps,13004 kB/s,13004.0
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,98 ms,91 Mbps,11673 kB/s,11673.0
129.154.50.159,443,129.154.50.159,KR,Seoul,中转,182 ms,89 Mbps,11468 kB/s,11468.0
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,195 ms,88 Mbps,11366 kB/s,11366.0
152.67.212.141,443,152.67.212.141,KR,Seoul,中转,182 ms,88 Mbps,11366 kB/s,11366.0
129.146.220.190,443,2603:c020:b:c87e:e94d:56e:f44a:60ac,US,Los Angeles,隧道,65 ms,78 Mbps,10035 kB/s,10035.0
144.24.83.39,443,144.24.83.39,KR,Seoul,中转,177 ms,77 Mbps,9958 kB/s,9958.0
129.154.60.48,443,129.154.60.48,KR,Seoul,中转,178 ms,77 Mbps,9932 kB/s,9932.0
152.69.162.101,443,152.69.162.101,AU,Sydney,中转,202 ms,76 Mbps,9759 kB/s,9759.0
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,198 ms,75 Mbps,9694 kB/s,9694.0
129.154.207.203,443,2a09:bac1:3f00:90::22:100,KR,Seoul,隧道,188 ms,74 Mbps,9534 kB/s,9534.0
141.147.163.68,443,141.147.163.68,JP,Tokyo,中转,212 ms,71 Mbps,9182 kB/s,9182.0
150.136.87.192,443,150.136.87.192,US,Ashburn,中转,113 ms,69 Mbps,8867 kB/s,8867.0
146.56.161.229,443,146.56.161.229,KR,Seoul,中转,201 ms,66 Mbps,8511 kB/s,8511.0
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,213 ms,64 Mbps,8279 kB/s,8279.0
138.2.84.189,443,104.28.222.43,SG,Singapore,隧道,218 ms,57 Mbps,7363 kB/s,7363.0
168.138.184.172,443,168.138.184.172,SG,Singapore,中转,221 ms,56 Mbps,7290 kB/s,7290.0
141.147.184.160,443,141.147.184.160,JP,Tokyo,中转,266 ms,56 Mbps,7263 kB/s,7263.0
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,61 ms,49 Mbps,6363 kB/s,6363.0
158.101.24.17,443,158.101.24.17,US,Los Angeles,中转,119 ms,49 Mbps,6275 kB/s,6275.0
152.67.78.184,443,152.67.78.184,CH,Zurich,中转,100 ms,48 Mbps,6238 kB/s,6238.0
152.67.65.201,443,152.67.65.201,CH,Zurich,中转,100 ms,48 Mbps,6152 kB/s,6152.0
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,84 ms,47 Mbps,6138 kB/s,6138.0
